model,seed,horizon,R2,RMSE
rf_highres@w60,5,30,0.5822645225654464,28.905859123669707
rf_highres@w60,6,30,0.6006962764358756,28.260958121643103
rf_highres@w60,7,30,0.586045583866797,28.774743534101205
rf_highres@w60,8,30,0.5856177469129419,28.789609566258644
rf_highres@w60,9,30,0.6214735192164803,27.515875452807027
rf_highres@w60,10,30,0.5829868887273345,28.88085568205743
rf_highres@w60,11,30,0.6129851970846993,27.822681858480404
rf_highres@w60,12,30,0.5896670657158982,28.648599055275916
rf_highres@w60,13,30,0.6028734903053452,28.183806007252514
rf_highres@w60,14,30,0.6217971580109556,27.504109949590703
sa__concat@w10_1min,0,30,0.6299138919385134,27.207371901986612
sa__concat@w10_1min,1,30,0.6384296137722846,26.892527911045597
sa__concat@w10_1min,2,30,0.6363968862912432,26.968016068682495
sa__concat@w10_1min,3,30,0.5977021719650506,28.366715003164867
sa__concat@w10_1min,4,30,0.6387369872806075,26.881094717854783
sa__concat@w10_1min,5,30,0.6665807954409125,25.8244158777669
sa__concat@w10_1min,6,30,0.6430723615747551,26.719313199779158
sa__concat@w10_1min,7,30,0.6338722581562872,27.061478465914924
sa__concat@w10_1min,8,30,0.6284712057694917,27.260350816193668
sa__concat@w10_1min,9,30,0.6249836107668154,27.388000395014394
sa__concat@w10_1min,10,30,0.6425165548765646,26.740108726310233
sa__concat@w10_1min,11,30,0.6541406018923048,26.301770996132586
sa__concat@w10_1min,12,30,0.6479594695126646,26.53576025941827
sa__concat@w10_1min,13,30,0.6108835593686464,27.89812345528213
sa__concat@w10_1min,14,30,0.6365904960231468,26.960835209389998
sa__concat@w10_5min,0,30,0.6509751856383876,26.421857979640237
sa__concat@w10_5min,1,30,0.638254140064823,26.899052725242303
sa__concat@w10_5min,2,30,0.6255698119603966,27.366586454349505
sa__concat@w10_5min,3,30,0.6202815289922532,27.559165520775167
sa__concat@w10_5min,4,30,0.6450030351825318,26.646950883194446
sa__concat@w10_5min,5,30,0.6018877908784788,28.218761548621465
sa__concat@w10_5min,6,30,0.6424478885696783,26.742676756204602
sa__concat@w10_5min,7,30,0.6416342200205731,26.773088140919448
sa__concat@w10_5min,8,30,0.5906863648790803,28.61299424773999
sa__concat@w10_5min,9,30,0.6227549126876616,27.469262395198143
sa__concat@w10_5min,10,30,0.6528391850538349,26.351209334523684
sa__concat@w10_5min,11,30,0.651615406124854,26.397613888078627
sa__concat@w10_5min,12,30,0.6248240307804178,27.393826956204954
sa__concat@w10_5min,13,30,0.6594230311242895,26.10014015396372
sa__concat@w10_5min,14,30,0.6593730369540116,26.102055737059665
sa__concat@w5_1min,0,30,0.6329322767266554,27.096194466059526
sa__concat@w5_1min,1,30,0.6390060904163715,26.87108105158934
sa__concat@w5_1min,2,30,0.620650663561551,27.545766759527133
sa__concat@w5_1min,3,30,0.6191037457156436,27.60187294242109
