seed,fold,arm,channel,level_retained
6,2,subject_z,2,0.1215365659432243
6,2,subject_z,3,0.16061795123639233
6,2,premeal_center,1,0.0
6,2,premeal_center,2,0.0
6,2,premeal_center,3,0.0
6,3,global,1,0.46750355624190376
6,3,global,2,0.36807145868398117
6,3,global,3,0.11129519879766106
6,3,subject_z,1,4.274057826110872e-31
6,3,subject_z,2,0.21730579342309528
6,3,subject_z,3,0.49995373281839833
6,3,premeal_center,1,0.0
6,3,premeal_center,2,0.0
6,3,premeal_center,3,0.0
6,4,global,1,0.203514975450929
6,4,global,2,0.3170174960909257
6,4,global,3,0.22745101113709085
6,4,subject_z,1,1.9248487737306842e-31
6,4,subject_z,2,0.2139542531615769
6,4,subject_z,3,0.10614412740926273
6,4,premeal_center,1,0.0
6,4,premeal_center,2,0.0
6,4,premeal_center,3,0.0
7,0,global,1,0.36018235999521603
7,0,global,2,0.21636435633688095
7,0,global,3,0.09378489732881502
7,0,subject_z,1,1.9823551861514316e-31
7,0,subject_z,2,0.10561803347238086
7,0,subject_z,3,0.2513371724119993
7,0,premeal_center,1,0.0
7,0,premeal_center,2,0.0
7,0,premeal_center,3,0.0
7,1,global,1,0.1503716053227023
7,1,global,2,0.3328802759412979
7,1,global,3,0.2906424482200458
7,1,subject_z,1,2.465258944354074e-31
7,1,subject_z,2,0.39748085609550976
7,1,subject_z,3,0.3253165730975615
7,1,premeal_center,1,0.0
7,1,premeal_center,2,0.0
7,1,premeal_center,3,0.0
7,2,global,1,0.5220349169257045
7,2,global,2,0.24584126063376766
7,2,global,3,0.16049819474456428
7,2,subject_z,1,3.4601156493061176e-31
7,2,subject_z,2,0.098001481988682
7,2,subject_z,3,0.15541902799644441
7,2,premeal_center,1,0.0
7,2,premeal_center,2,0.0
7,2,premeal_center,3,0.0
7,3,global,1,0.30920347619384797
7,3,global,2,0.08735608989190058
7,3,global,3,0.2259905317592989
7,3,subject_z,1,1.818567220038604e-31
7,3,subject_z,2,0.11941122880162362
7,3,subject_z,3,0.16706810139125808
7,3,premeal_center,1,0.0
7,3,premeal_center,2,0.0
7,3,premeal_center,3,0.0
7,4,global,1,0.4227172457420064
7,4,global,2,0.15920196296950576
7,4,global,3,0.16936949563432563
7,4,subject_z,1,2.2227647780908754e-31
7,4,subject_z,2,0.15866875298354022
7,4,subject_z,3,0.2056815856681853
7,4,premeal_center,1,0.0
7,4,premeal_center,2,0.0
7,4,premeal_center,3,0.0
