scenario,sim,comparison,ddR2,lo,hi,perm_p,holm_p,seed_pos_frac,verdict,ref_ddR2,ci_covers_ref
no_cgm,99,global_vs_subz,-0.001614647250632505,-0.007102147416204738,0.003296652617675219,0.5497450254974503,1.0,0.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,99,global_vs_subcenter,-0.0003778115036698449,-0.004465275145652167,0.0036862604343577588,0.8619138086191381,1.0,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,100,global_vs_premeal,-0.0015484302250841175,-0.004377981806402189,0.0007059429273270916,0.2999700029997,0.8999100089991,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,100,global_vs_subz,-0.0008670964955949127,-0.006961802693279962,0.005761001666060832,0.7991200879912009,1.0,0.25,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,100,global_vs_subcenter,-0.000989843042544563,-0.004999730022471075,0.0030450129458343723,0.6451354864513549,1.0,0.25,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,101,global_vs_premeal,-0.0011118835942130454,-0.008677398903224151,0.005229906913938099,0.7714228577142286,1.0,0.5,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,101,global_vs_subz,-0.0025612110845176323,-0.011571908110859933,0.005699003973332997,0.5811418858114189,1.0,0.0,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,101,global_vs_subcenter,-0.002058002642105367,-0.008700431707365544,0.004129234482077987,0.5347465253474653,1.0,0.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,102,global_vs_premeal,-0.00122185341844885,-0.0021720071822480392,-0.00036967773926612445,0.0100989901009899,0.030296970302969704,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
no_cgm,102,global_vs_subz,0.004853385354203497,0.00042482623237798816,0.009891640188162843,0.052094790520947905,0.10418958104189581,1.0,NEGLIGIBLE,1.974354172149378e-06,False
no_cgm,102,global_vs_subcenter,0.0014584486172838254,-3.459334524477751e-05,0.003339515104248135,0.08349165083491651,0.10418958104189581,1.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,103,global_vs_premeal,-0.0010913044807786792,-0.0025737729475545385,0.000328246941733558,0.1344865513448655,0.4034596540345965,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,103,global_vs_subz,0.0005672353409158004,-0.0050535326191931094,0.0060357293591514465,0.851014898510149,0.851014898510149,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,103,global_vs_subcenter,0.0009745560060958824,-0.00045290614156265037,0.0027179044549830015,0.24587541245875413,0.49175082491750827,1.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,104,global_vs_premeal,-0.000477367058934582,-0.002386659619792997,0.0011493971029185146,0.6136386361363864,1.0,0.25,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,104,global_vs_subz,0.0013208660287043234,-0.0034801182146301495,0.00602376342014048,0.5926407359264073,1.0,0.75,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,104,global_vs_subcenter,0.0007331190806982758,-0.0012132628648732784,0.002455362576123085,0.45195480451954806,1.0,0.75,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,105,global_vs_premeal,-0.001324548699720616,-0.003495204487814692,0.0007516251770731337,0.24327567243275672,0.7298270172982702,0.0,NEGLIGIBLE,-1.2279994176884975e-05,True
no_cgm,105,global_vs_subz,-0.00047269571967424633,-0.0052055887314403,0.004408933385700177,0.8414158584141586,1.0,0.5,NEGLIGIBLE,1.974354172149378e-06,True
no_cgm,105,global_vs_subcenter,-0.0004536081703034779,-0.003065914892471675,0.002532018867402306,0.7662233776622338,1.0,0.0,NEGLIGIBLE,-1.4910008964005766e-06,True
no_cgm,106,global_vs_premeal,-0.0060774807727812605,-0.012501592045446031,-0.001539234308735147,0.006399360063993601,0.019198080191980802,0.0,NEGLIGIBLE,-1.2279994176884975e-05,False
