horizon,increment,kind,metric,arm,config,estimate,lo,hi,perm_p,seed_pos_frac,holm_p,verdict
60,CGM adds beyond context,interaction,within_20,global vs subject_z,,5.230010952902525,1.9817471259337052,8.520844624171433,0.0035996400359964,1.0,0.010798920107989201,CHANGES
60,CGM adds beyond context,level,within_30,global,cgm_static,59.926067907995616,53.59369697398189,65.8261910736536,,,,
60,CGM adds beyond context,level,within_30,global,static_all,54.25794085432639,48.23934274702213,60.032304689411355,,,,
60,CGM adds beyond context,increment,within_30,global,,5.668127053669224,1.8162600834410185,9.38860682407241,,,,
60,CGM adds beyond context,level,within_30,subject_z,cgm_static,55.87349397590362,49.73721353731842,61.705169316108595,,,,
60,CGM adds beyond context,level,within_30,subject_z,static_all,54.25794085432639,48.23934274702213,60.032304689411355,,,,
60,CGM adds beyond context,increment,within_30,subject_z,,1.6155531215772285,0.3813494729226964,2.9109632767571,,,,
60,CGM adds beyond context,interaction,within_30,global vs subject_z,,4.052573932091995,0.5919073511261462,7.581820172186081,0.036696330366963306,1.0,0.07339266073392661,INCONCLUSIVE
60,CGM adds beyond context,level,clarke_A,global,cgm_static,62.910733844468794,56.505001847414036,68.5545382218428,,,,
60,CGM adds beyond context,level,clarke_A,global,static_all,55.70920043811609,49.64617981688769,60.9997204851468,,,,
60,CGM adds beyond context,increment,clarke_A,global,,7.201533406352702,3.374066561438475,10.994707148019188,,,,
60,CGM adds beyond context,level,clarke_A,subject_z,cgm_static,56.62650602409639,50.41375766871166,62.17538439587503,,,,
60,CGM adds beyond context,level,clarke_A,subject_z,static_all,55.70920043811609,49.64617981688769,60.9997204851468,,,,
60,CGM adds beyond context,increment,clarke_A,subject_z,,0.9173055859803014,-0.6921996532820611,2.5187587430337692,,,,
60,CGM adds beyond context,interaction,clarke_A,global vs subject_z,,6.284227820372401,2.8175488879654877,9.865210046784666,0.0011998800119988001,1.0,0.004999500049995,CHANGES
60,CGM adds beyond context,level,clarke_AB,global,cgm_static,98.08324205914568,96.775593546886,99.10014560341256,,,,
60,CGM adds beyond context,level,clarke_AB,global,static_all,96.87842278203725,94.92091950335212,98.47268964763585,,,,
60,CGM adds beyond context,increment,clarke_AB,global,,1.2048192771084274,0.2975551808706349,2.322508578781805,,,,
60,CGM adds beyond context,level,clarke_AB,subject_z,cgm_static,97.01533406352682,95.08365976563998,98.54401121959575,,,,
60,CGM adds beyond context,level,clarke_AB,subject_z,static_all,96.87842278203725,94.92091950335212,98.47268964763585,,,,
60,CGM adds beyond context,increment,clarke_AB,subject_z,,0.13691128148957432,-0.14881355440333763,0.5252443254132038,,,,
60,CGM adds beyond context,interaction,clarke_AB,global vs subject_z,,1.067907995618853,0.1371693833359931,2.226227855721766,0.04709529047095291,1.0,0.07339266073392661,INCONCLUSIVE
120,CGM adds beyond context,level,within_10,global,cgm_static,22.357612267250822,19.109191191332823,25.740278892213762,,,,
120,CGM adds beyond context,level,within_10,global,static_all,20.769441401971523,17.545805462284854,24.22987677425627,,,,
120,CGM adds beyond context,increment,within_10,global,,1.5881708652792987,-0.6586249675371225,3.9689118239355565,,,,
120,CGM adds beyond context,level,within_10,subject_z,cgm_static,20.646221248630887,17.113991837063647,24.590958502925066,,,,
120,CGM adds beyond context,level,within_10,subject_z,static_all,20.769441401971523,17.545805462284854,24.22987677425627,,,,
120,CGM adds beyond context,increment,within_10,subject_z,,-0.12322015334063607,-1.8182199938918848,1.5197355100699863,,,,
120,CGM adds beyond context,interaction,within_10,global vs subject_z,,1.7113910186199348,-0.3192875832699219,4.037742690237827,0.15028497150284972,1.0,,
120,CGM adds beyond context,level,within_20,global,cgm_static,44.31818181818182,38.933217742942986,49.918050464685024,,,,
120,CGM adds beyond context,level,within_20,global,static_all,41.86746987951807,36.84108606600468,47.1923245614035,,,,
120,CGM adds beyond context,increment,within_20,global,,2.4507119386637513,-0.16994158800484943,5.445884279896822,,,,
120,CGM adds beyond context,level,within_20,subject_z,cgm_static,41.45673603504928,35.85270070414102,47.22794059576128,,,,
120,CGM adds beyond context,level,within_20,subject_z,static_all,41.86746987951807,36.84108606600468,47.1923245614035,,,,
120,CGM adds beyond context,increment,within_20,subject_z,,-0.4107338444687869,-1.951348403286938,1.0975686262508833,,,,
120,CGM adds beyond context,interaction,within_20,global vs subject_z,,2.861445783132538,0.4355659749322753,5.666291820299234,0.030796920307969204,1.0,,
120,CGM adds beyond context,level,within_30,global,cgm_static,61.47316538882804,55.511508976338654,67.34705797766802,,,,
120,CGM adds beyond context,level,within_30,global,static_all,58.32420591456735,52.51799865214974,64.20397198204189,,,,
