horizon,diag,group,model,n_participants,n_meals,R2,R2_lo,R2_hi,RMSE,RMSE_lo,RMSE_hi,MAE,MAE_lo,MAE_hi,bias,skill_vs_persistence,skill_lo,skill_hi
60,0,healthy,cgm_person_meal,11,252,0.2600487572315654,-0.2113357267782941,0.33536400141650974,34.15602748239181,24.50193728604926,46.35092561312086,25.16339117857143,19.05355935836151,33.76770309290384,1.8014342837301576,0.1935991573321958,0.012486709532044943,0.26634218346498334
60,0,healthy,cgm,11,252,-0.03181054577389028,-0.7549016078716086,0.09564864379070571,40.34647686991737,31.357254990906064,52.71203991093149,31.37001351041667,25.632554875864674,39.86745863719018,13.466745716765875,0.04744680969263271,-0.21222958083269935,0.14548996434381395
60,0,healthy,static_all,11,252,-0.022264669454570507,-0.9565992195720574,0.16123698746185697,40.10893807984011,29.087954657312824,52.06162533857082,30.10379912946429,22.68657386243929,37.998283423431566,1.177705137400794,0.05305494080750961,-0.25658697789572293,0.16902751462450846
60,0,healthy,persistence_5min,11,252,-0.13686875677015653,-0.4506959002422859,-0.04028019132053758,42.35614061289163,27.90133025912697,60.31877457115543,28.743333333333336,20.05741515151515,42.146376059505265,-22.49603174603175,0.0,0.0,0.0
60,1,prediabetes,full,16,343,0.2046645971850357,-0.19255223077671846,0.3603410138248743,37.43036765083868,31.315082777511574,44.59689182868565,29.491648910349852,24.70354417046333,36.05720827668379,3.1873730269679292,0.2711648873462664,0.08035270484049385,0.3734261412080154
60,1,prediabetes,cgm_static,16,343,0.2575979686350855,-0.12464605637276038,0.41014989480214187,36.163069850384446,29.987105660322978,43.252464622694326,28.152972194970843,23.38193441004239,34.64785542310041,2.3224557029883375,0.29584140518803537,0.10609777342207492,0.3997420305958636
60,1,prediabetes,cgm_person_meal,16,343,0.28746120628905814,-0.06543960148404568,0.4272145079409252,35.43364797344674,29.54321438335131,42.2118843179032,27.698853611516036,23.162652539801844,33.82023366562959,0.9520921727405243,0.3100445324671788,0.1330524147695201,0.4080721381869285
60,1,prediabetes,cgm,16,343,0.12103099353410916,-0.2112671412491779,0.25142871357721536,39.357994297955884,31.878694128497134,47.928313967378394,30.243152873542275,24.83538224085448,37.16637820366139,3.093466679664722,0.2336306050861635,0.06340220211208233,0.3477972976240199
60,1,prediabetes,static_all,16,343,-0.16896220504032852,-0.6563470833094297,0.04467064170005461,45.35799795178434,37.409752616531264,54.267460294823024,34.34376740998542,28.19959484362185,41.96544561227732,-0.5987659493440245,0.11679997761935335,-0.07530192070213167,0.23945957742665072
60,1,prediabetes,persistence_5min,16,343,-0.4961928857738709,-1.0742807419313762,-0.1698800516629348,51.3564275389428,42.272586839243935,60.52755559004444,40.08384839650146,32.56942742098274,47.87080056672088,-33.84524781341108,0.0,0.0,0.0
