model,t,w,w_lo,w_hi
cnn__concat+attnpool,29,0.015734868079576487,0.015359396906691783,0.016084617042614595
cnn__concat+attnpool,30,0.015774915074516248,0.015409271219820088,0.016118049063187628
cnn__concat+attnpool,31,0.015814659950587805,0.015453200763083192,0.01614973829256727
cnn__concat+attnpool,32,0.0158519843177437,0.015491794058118494,0.016179203597403352
cnn__concat+attnpool,33,0.01588423323517342,0.015528308879503556,0.01621019701317986
cnn__concat+attnpool,34,0.015913914014749907,0.015557887356620307,0.01623895220825259
cnn__concat+attnpool,35,0.01594562781120847,0.015591176628265565,0.016267977376703914
cnn__concat+attnpool,36,0.0159823564479226,0.01562565750634389,0.01630736228142004
cnn__concat+attnpool,37,0.016028017017378608,0.015663802053524026,0.016354321507612922
cnn__concat+attnpool,38,0.016083034573420956,0.015721213486007385,0.01641011739289268
cnn__concat+attnpool,39,0.016147716883614455,0.0157837507357367,0.016468596075413754
cnn__concat+attnpool,40,0.01622027475641475,0.015856643048792442,0.01654245402975249
cnn__concat+attnpool,41,0.016299681849828405,0.015931853348396866,0.016626057587977184
cnn__concat+attnpool,42,0.0163852915460314,0.016013491785055886,0.016717973918079613
cnn__concat+attnpool,43,0.016477342830587806,0.016100504722115206,0.01681340500814998
cnn__concat+attnpool,44,0.01657123831880979,0.016189286846652984,0.016918759256114135
cnn__concat+attnpool,45,0.016665780922022637,0.016285237687537712,0.01701708219370768
cnn__concat+attnpool,46,0.016764689144614823,0.01638373847075445,0.017123337017153104
cnn__concat+attnpool,47,0.016871035202227092,0.0164879593203398,0.017235962295012338
cnn__concat+attnpool,48,0.016987235850748447,0.01660201785898025,0.017354124610357426
cnn__concat+attnpool,49,0.017113028389302665,0.016722492847476105,0.01749177219701265
cnn__concat+attnpool,50,0.017250231858138006,0.016853212749009503,0.01763729237124205
cnn__concat+attnpool,51,0.017401833941935015,0.017000792561284003,0.01780007639408066
cnn__concat+attnpool,52,0.017564281680051117,0.01715238496735353,0.017979884351914197
cnn__concat+attnpool,53,0.01773949967033954,0.01731142349486694,0.018175784296358032
cnn__concat+attnpool,54,0.017923634537714492,0.01747625362180965,0.018392161507401042
cnn__concat+attnpool,55,0.018117348345198972,0.017638843244018668,0.01863230433802716
cnn__concat+attnpool,56,0.018318674473924792,0.017790203316720595,0.018880903748352332
cnn__concat+attnpool,57,0.020805037389777292,0.01980169887949127,0.021807140396559108
cnn__concat+attnpool,58,0.0287574872550931,0.02535105459856715,0.03231673973576828
cnn__concat+attnpool,59,0.04054504043346477,0.029686974919032032,0.053284399325618875
cnn_gru__concat+attnpool,0,0.013313288510726546,0.011264101178338714,0.01574255135690684
cnn_gru__concat+attnpool,1,0.011842809239576486,0.01111066642608506,0.012678090632265526
cnn_gru__concat+attnpool,2,0.01233740048313253,0.011923355350894258,0.012755788950979322
cnn_gru__concat+attnpool,3,0.013071970356035049,0.012630736412181421,0.013469056995161231
cnn_gru__concat+attnpool,4,0.013656952122022635,0.013157894162403849,0.014097750510961182
cnn_gru__concat+attnpool,5,0.01408257071287331,0.013555612303562944,0.01454320916706153
cnn_gru__concat+attnpool,6,0.014392518156217598,0.013861407550009211,0.014872917710611059
cnn_gru__concat+attnpool,7,0.014622586457502742,0.014096397723853809,0.015101419695708104
cnn_gru__concat+attnpool,8,0.014798396468455639,0.014278372313320218,0.015274985059407635
cnn_gru__concat+attnpool,9,0.014940255252493612,0.014433297846675746,0.015413847709345521
cnn_gru__concat+attnpool,10,0.015061578717604968,0.014567903589051294,0.015533084576163224
cnn_gru__concat+attnpool,11,0.015162380403037606,0.014676221162386894,0.015627296350259067
cnn_gru__concat+attnpool,12,0.015248858655392475,0.01476824472261594,0.01571417211642869
cnn_gru__concat+attnpool,13,0.01532540269637824,0.014849391267161527,0.015786882137262277
cnn_gru__concat+attnpool,14,0.015397072970967504,0.014923021028448415,0.015855154087534094
cnn_gru__concat+attnpool,15,0.01546932713797006,0.01500891485054122,0.015916389315897728
cnn_gru__concat+attnpool,16,0.015545121959036144,0.015094763163709442,0.015976359247218706
cnn_gru__concat+attnpool,17,0.01562432127966411,0.015189688477622986,0.01604205219954383
cnn_gru__concat+attnpool,18,0.015703500223410004,0.015283333027663016,0.016111268550557785
cnn_gru__concat+attnpool,19,0.015778529479992694,0.01536751138981939,0.016177360961739242
cnn_gru__concat+attnpool,20,0.01584129356687112,0.015436992877231194,0.01623200991266195
cnn_gru__concat+attnpool,21,0.015894637233954,0.015492003461705284,0.016283920113837332
cnn_gru__concat+attnpool,22,0.015941383333296824,0.015542186811753853,0.016326262833501925
cnn_gru__concat+attnpool,23,0.01598471475531946,0.015584698828000803,0.01636816737293404
cnn_gru__concat+attnpool,24,0.016027736340350495,0.015631895559219178,0.016404815639259013
cnn_gru__concat+attnpool,25,0.016070060867907996,0.01567933756728083,0.016446029854858737
cnn_gru__concat+attnpool,26,0.016114257610836073,0.015733371228568375,0.016484082383110374
cnn_gru__concat+attnpool,27,0.0161621099003651,0.01578840281861088,0.01652526087650764
cnn_gru__concat+attnpool,28,0.016214227580598754,0.015851458016532496,0.01657179036048864
cnn_gru__concat+attnpool,29,0.016269285123585248,0.015915440596974015,0.01661977873446966
cnn_gru__concat+attnpool,30,0.016326832939941586,0.015986236579971686,0.016665995935895735
cnn_gru__concat+attnpool,31,0.016382751332887916,0.01604836543505026,0.016708774722156487
cnn_gru__concat+attnpool,32,0.01643346554373859,0.016105681465194123,0.016750804287467124
cnn_gru__concat+attnpool,33,0.016479032912340267,0.016158826059451677,0.016789996628036173
cnn_gru__concat+attnpool,34,0.016523119962212486,0.016197535703077064,0.0168299536297855
cnn_gru__concat+attnpool,35,0.01656808368955823,0.016242887274921042,0.016868598531427578
cnn_gru__concat+attnpool,36,0.016617636627126686,0.016291033706297756,0.01691737462630848
cnn_gru__concat+attnpool,37,0.016674721025520266,0.016351118886456555,0.016973643168983067
cnn_gru__concat+attnpool,38,0.01674187293833516,0.016414332058664827,0.017042120154694074
cnn_gru__concat+attnpool,39,0.016821474694340997,0.016488628405708576,0.017123959502431438
cnn_gru__concat+attnpool,40,0.016913822078678347,0.016574061997944384,0.017222223852578464
cnn_gru__concat+attnpool,41,0.017017144071522453,0.01667484908215283,0.017327537844740476
cnn_gru__concat+attnpool,42,0.01712583604728003,0.01678097787598916,0.017443220292756842
cnn_gru__concat+attnpool,43,0.017236777675355967,0.016882818106046003,0.017559101121521575
cnn_gru__concat+attnpool,44,0.017347642738590727,0.016993415414503436,0.017671854206749337
cnn_gru__concat+attnpool,45,0.01745869599974443,0.017101336226955106,0.017795678326220025
cnn_gru__concat+attnpool,46,0.01757488566206645,0.017214748860063273,0.017918438632020004
cnn_gru__concat+attnpool,47,0.017698580616100766,0.017339797827310124,0.01805250842761008
cnn_gru__concat+attnpool,48,0.01783445552008032,0.01747720466444252,0.0181987249439348
cnn_gru__concat+attnpool,49,0.0179838176550931,0.017623700744130007,0.01835618717027613
cnn_gru__concat+attnpool,50,0.018145693981416574,0.017775852031669134,0.01852844730190633
cnn_gru__concat+attnpool,51,0.018321173135669947,0.017945473523419898,0.01871368890381914
cnn_gru__concat+attnpool,52,0.018515575061409273,0.018127393751443403,0.01892119953392787
cnn_gru__concat+attnpool,53,0.018727576946732383,0.018323253471273258,0.019146740478220115
cnn_gru__concat+attnpool,54,0.0189543470135816,0.018524053469717146,0.019396973590129835
cnn_gru__concat+attnpool,55,0.019191088601022272,0.018736957155084083,0.01966197983758975
cnn_gru__concat+attnpool,56,0.019435055397736396,0.0189465274903255,0.019938544795388133
cnn_gru__concat+attnpool,57,0.01968118696443958,0.01915011688345086,0.020228984276325676
cnn_gru__concat+attnpool,58,0.02280388118291347,0.02065903457870245,0.025213145454341248
cnn_gru__concat+attnpool,59,0.03456922514741877,0.02548346301563087,0.04572610190942607
